subject,Activity_id,Activity,split,tBodyAccMag-mean(),tBodyAccJerkMag-mean(),tBodyGyroMag-mean(),tBodyGyroJerkMag-mean(),tGravityAccMag-mean(),fBodyAccMag-mean()
1,5,STANDING,train,-0.95943388,-0.99330586,-0.96895908,-0.99424782,-0.95943388,-0.95215466
1,5,STANDING,train,-0.97928915,-0.99125349,-0.98068314,-0.9951232,-0.97928915,-0.98085662
1,5,STANDING,train,-0.98370313,-0.98853127,-0.97631707,-0.99340322,-0.98370313,-0.98779477
1,5,STANDING,train,-0.98654176,-0.99307804,-0.98205988,-0.99550216,-0.98654176,-0.98751866
1,5,STANDING,train,-0.99282715,-0.99348,-0.98520373,-0.99580756,-0.99282715,-0.99359085
1,5,STANDING,train,-0.99429499,-0.9930177,-0.9858944,-0.99527476,-0.99429499,-0.99483599
1,5,STANDING,train,-0.9874657,-0.9913143,-0.98550069,-0.99371877,-0.9874657,-0.98213471
1,5,STANDING,train,-0.97745766,-0.99085085,-0.98450563,-0.99429068,-0.97745766,-0.98218413
1,5,STANDING,train,-0.98363087,-0.99332542,-0.98936978,-0.99584954,-0.98363087,-0.9831308
1,5,STANDING,train,-0.98677197,-0.98538815,-0.98452436,-0.98979927,-0.98677197,-0.98499403
1,5,STANDING,train,-0.98804033,-0.98441139,-0.9852507,-0.99126117,-0.98804033,-0.98569656
1,5,STANDING,train,-0.99477563,-0.99279492,-0.99428671,-0.99776102,-0.99477563,-0.9951378
1,5,STANDING,train,-0.99532501,-0.99486033,-0.99630809,-0.99860153,-0.99532501,-0.99595367
1,5,STANDING,train,-0.99670013,-0.99536254,-0.99767246,-0.99833451,-0.99670013,-0.99775726
1,5,STANDING,train,-0.90458778,-0.99047837,-0.84050608,-0.99144905,-0.90458778,-0.90383853
1,5,STANDING,train,-0.98446381,-0.99628275,-0.93127833,-0.99680193,-0.98446381,-0.99136765
1,5,STANDING,train,-0.98904307,-0.99552049,-0.97236443,-0.99690565,-0.98904307,-0.99273157
1,5,STANDING,train,-0.99507155,-0.99564686,-0.9804895,-0.99700147,-0.99507155,-0.99343349
1,5,STANDING,train,-0.99872681,-0.99585704,-0.98856897,-0.99808075,-0.99872681,-0.99704386
1,5,STANDING,train,-0.99797237,-0.99645316,-0.993472,-0.99869585,-0.99797237,-0.99989278
1,5,STANDING,train,-0.99844133,-0.99547632,-0.99698274,-0.99843291,-0.99844133,-0.99725253
1,5,STANDING,train,-0.997891,-0.99306888,-0.99707363,-0.99818838,-0.997891,-0.99671069
1,5,STANDING,train,-0.99589346,-0.99222923,-0.99762227,-0.99852925,-0.99589346,-0.99596298
1,5,STANDING,train,-0.99521534,-0.99337454,-0.99736198,-0.99832144,-0.99521534,-0.99508421
1,5,STANDING,train,-0.99419344,-0.99333286,-0.99569879,-0.99740976,-0.99419344,-0.99427863
1,5,STANDING,train,-0.9957494,-0.99251624,-0.99526631,-0.99717187,-0.9957494,-0.99363919
1,5,STANDING,train,-0.9985525,-0.99338553,-0.99582615,-0.99717422,-0.9985525,-0.99638609
1,4,SITTING,train,-0.5543692,-0.97526798,-0.8738801,-0.99023484,-0.5543692,-0.44662992
1,4,SITTING,train,-0.93459377,-0.99288968,-0.89520271,-0.99808771,-0.93459377,-0.95362658
1,4,SITTING,train,-0.97699498,-0.99423479,-0.94096567,-0.99886254,-0.97699498,-0.97670695
1,4,SITTING,train,-0.81575864,-0.91387886,-0.68190845,-0.9175591,-0.81575864,-0.61264851
1,4,SITTING,train,-0.50739668,-0.86678801,-0.59287987,-0.88878839,-0.50739668,-0.68219367
1,4,SITTING,train,-0.62102725,-0.94302661,-0.85361742,-0.9660986,-0.62102725,-0.69185852
1,4,SITTING,train,-0.91595384,-0.99107291,-0.93617751,-0.99314699,-0.91595384,-0.90549594
1,4,SITTING,train,-0.97480504,-0.99684513,-0.96385423,-0.99679493,-0.97480504,-0.96861566
1,4,SITTING,train,-0.99523836,-0.99763638,-0.98430476,-0.99703141,-0.99523836,-0.99683806
1,4,SITTING,train,-0.99906744,-0.99661376,-0.99388844,-0.99658655,-0.99906744,-0.99835502
1,4,SITTING,train,-0.9980118,-0.99594417,-0.99663124,-0.99648651,-0.9980118,-0.99642627
1,4,SITTING,train,-0.92623334,-0.98365142,-0.62607513,-0.99269133,-0.92623334,-0.9452631
1,4,SITTING,train,-0.96816289,-0.9923627,-0.78814522,-0.99529654,-0.96816289,-0.96858175
1,4,SITTING,train,-0.99295106,-0.9934185,-0.92159819,-0.99658889,-0.99295106,-0.99597166
1,4,SITTING,train,-0.9934379,-0.99298342,-0.9823882,-0.99707243,-0.9934379,-0.9936202
1,4,SITTING,train,-0.99091407,-0.99379982,-0.98533998,-0.99734824,-0.99091407,-0.99313905
